"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"1",0.4,0.1,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"2",0.4,0.1,0.1,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"3",0.4,0.1,0.1,0.2,0.9996292,0.9997042,0.9996923,203460.895570118,158710.249452862,152328.396968855,17.3,13.2,18.5
"4",0.4,0.1,0.1,0.3,0.9929961,0.992757,0.9916287,4113.48829139349,3924.83355245181,2430.51592229921,252.6,255.8,419.6
"5",0.4,0.1,0.1,0.4,0.9635032,0.9631753,0.961467,875.963846169059,870.969324395591,590.464889430395,1109.8,1112,1634.1
"6",0.4,0.1,0.1,0.5,0.9002576,0.8988403,0.9059595,360.221746990414,353.995123490759,250.198581826787,2507,2540.5,3630.8
"7",0.4,0.1,0.1,0.6,0.8062138,0.8036637,0.7987764,202.999006877377,198.653396938838,132.680647614584,3981,4050,6025.6
"8",0.4,0.1,0.1,0.7,0.660323,0.6622495,0.6667408,126.802812780324,127.410530097548,86.3511801511559,5213.8,5202.8,7724
"9",0.4,0.1,0.1,0.8,0.4908071,0.4946188,0.4783039,91.2364720731155,91.2935869478842,61.2967083987135,5385.9,5418.8,7804.9
"10",0.4,0.1,0.1,0.9,0.2623025,0.2768629,0.2739508,69.307793488765,71.1550912647948,47.5886813740986,3781.4,3894.6,5753.5
"11",0.4,0.1,0.1,1,0.0196359,0.0204695,0.019962,57.2133867716424,61.5376386740167,40.3900774251199,353.5,351.5,535.3
"12",0.4,0.1,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"13",0.4,0.1,0.5,0.1,8.49e-05,8.73e-05,8.66e-05,84.9,87.3,86.6,1,1,1
"14",0.4,0.1,0.5,0.2,4.2e-05,4.21e-05,4.23e-05,40,42.1,42.3,1.1,1,1
"15",0.4,0.1,0.5,0.3,2.89e-05,2.72e-05,2.85e-05,28.9,27.2,28.5,1,1,1
"16",0.4,0.1,0.5,0.4,2.13e-05,2.16e-05,2.1e-05,21.3,21.6,21,1,1,1
