"","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym"
"1",0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.000966,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.000893,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.00095,0.001001,0.001001,1001,1001,1001,1001,1001,1001,1001,1001,483,1001,1001,1001,1001,1001,1001,178.6,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,135.714285714286,1001,1001,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,7,1,1
"5",0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.000734,0.001001,0.001001,0.000972,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,1001,1001,1001,1001,1001,1001,1001,1001,1001,500,1001,1001,1001,1001,1001,1001,1001,104.857142857143,1001,1001,194.4,1001,1001,1001,1001,1001,1001,1001,1001,1001,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,7,1,1,5,1,1,1,1,1,1,1,1,1
"6",0.000984,0.001001,0.000958,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.000993,0.001001,0.000959,0.000968,0.001001,0.001001,0.000922,0.001001,0.000648,0.001001,0.000963,0.001001,0.001001,0.000994,0.001001,0.001001,0.000721,0.001001,0.001001,0.001001,328,1001,479,1001,1001,1001,1001,1001,1001,1001,496.5,1001,191.8,242,1001,1001,230.5,1001,324,1001,240.75,1001,1001,248.5,1001,1001,360.5,1001,1001,1001,3,1,2,1,1,1,1,1,1,1,2,1,5,4,1,1,4,1,2,1,4,1,1,4,1,1,2,1,1,1
"7",0.001001,0.000432,0.000477,0.000778,0.000662,0.001001,0.001001,0.001001,0.00054,0.000925,0.001001,0.001001,0.001001,0.001001,0.001001,0.001001,0.000804,0.000996,0.000962,0.000617,0.000655,0.001001,0.000917,0.001001,0.001001,0.000637,0.000784,0.000999,0.000981,0.001001,1001,24,119.25,155.6,331,1001,1001,1001,60,185,1001,1001,1001,1001,1001,1001,114.857142857143,498,192.4,68.5555555555556,54.5833333333333,1001,458.5,1001,1001,63.7,261.333333333333,333,490.5,1001,1,18,4,5,2,1,1,1,9,5,1,1,1,1,1,1,7,2,5,9,12,1,2,1,1,10,3,3,2,1
"8",0.001001,0.000933,0.000518,0.001001,0.001001,0.00096,0.000809,0.001001,0.000997,0.001001,0.000999,0.000887,0.000449,0.000549,0.000965,0.000198,0.000776,0.000572,0.000785,0.001001,0.000887,0.001001,0.000762,0.000743,0.000938,0.001001,0.000817,0.000513,0.000648,0.000276,1001,233.25,103.6,1001,1001,137.142857142857,269.666666666667,1001,498.5,1001,499.5,221.75,44.9,54.9,193,24.75,129.333333333333,143,785,1001,98.5555555555556,1001,63.5,57.1538461538462,55.1764705882353,1001,51.0625,28.5,92.5714285714286,69,1,4,5,1,1,7,3,1,2,1,2,4,10,10,5,8,6,4,1,1,9,1,12,13,17,1,16,18,7,4
"9",0.00033,0.001001,0.000865,0.000956,0.000975,0.000451,0.000316,0.000749,0.000939,0.000147,0.000969,0.00099,0.000572,0.000393,0.000508,0.000858,0.000265,0.000792,0.000999,0.000252,0.000425,0.000496,0.000949,0.000774,0.000942,0.000445,0.001,0.000998,0.00097,0.000662,41.25,1001,216.25,191.2,325,26.5294117647059,79,57.6153846153846,234.75,147,161.5,495,63.5555555555556,65.5,508,78,26.5,99,499.5,84,28.3333333333333,496,86.2727272727273,193.5,62.8,74.1666666666667,500,499,107.777777777778,27.5833333333333,8,1,4,5,3,17,4,13,4,1,6,2,9,6,1,11,10,8,2,3,15,1,11,4,15,6,2,2,9,24
"10",0.000546,0.000461,0.000849,0.000988,0.000754,0.000988,0.000805,0.000264,0.000599,0.000546,0.000651,0.00037,0.000651,0.001001,0.000898,0.000337,0.000586,0.000869,0.000375,0.000526,0.000459,0.001001,0.000367,0.000474,0.000966,9.2e-05,0.00061,0.000572,0.000943,0.000833,182,46.1,94.3333333333333,197.6,94.25,247,268.333333333333,37.7142857142857,59.9,54.6,130.2,61.6666666666667,108.5,1001,224.5,67.4,53.2727272727273,72.4166666666667,34.0909090909091,37.5714285714286,51,1001,367,12.8108108108108,193.2,30.6666666666667,46.9230769230769,27.2380952380952,94.3,83.3,3,10,9,5,8,4,3,7,10,10,5,6,6,1,4,5,11,12,11,14,9,1,1,37,5,3,13,21,10,10
