"","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym"
"1",1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",0.999935,0.999877,1,0.999708,0.998921,0.999908,0.998701,0.999806,0.999435,1.000001,0.999623,0.999569,0.99971,0.999197,0.999901,0.999478,0.999997,0.999902,1,0.999665,0.999218,0.999487,0.999875,0.999191,0.999869,1.000001,0.999722,0.999905,0.999763,0.999892,166655.833333333,62492.3125,5e+05,39988.32,32223.2580645161,111100.888888889,29373.5588235294,62487.875,30285.9090909091,1000001,99962.3,49978.45,45441.3636363636,37007.2962962963,124987.625,83289.8333333333,499998.5,90900.1818181818,5e+05,55536.9444444444,55512.1111111111,37018.037037037,111097.222222222,26294.5,90897.1818181818,1000001,39988.88,49995.25,62485.1875,49994.6,6,16,2,25,31,9,34,16,33,1,10,20,22,27,8,12,2,11,2,18,18,27,9,38,11,1,25,20,16,20
"4",0.995279,0.991838,0.991206,0.993673,0.994463,0.989131,0.992624,0.993904,0.993746,0.994097,0.993358,0.993821,0.994306,0.992061,0.989879,0.991214,0.995256,0.994525,0.992002,0.991148,0.988807,0.990895,0.992694,0.993136,0.990969,0.991777,0.992188,0.990726,0.993995,0.9911,5591.45505617978,3385.11262798635,3754.56818181818,4643.33177570093,4419.83555555556,2762.93575418994,3662.81918819188,5070.9387755102,3154.74920634921,4689.13679245283,4685.65094339623,3587.80144404332,4009.29838709677,3468.74475524476,3510.20921985816,3477.94385964912,3981.024,4625.6976744186,4133.34166666667,3768.62357414449,2841.39942528736,1985.76152304609,2612.35263157895,2766.39554317549,1920.48255813953,2436.79852579853,2219.65995525727,2398.85230024213,3206.43548387097,1917.02127659574,178,293,264,214,225,358,271,196,315,212,212,277,248,286,282,285,250,215,240,263,348,499,380,359,516,407,447,413,310,517
"5",0.961982,0.960012,0.96246,0.965178,0.958251,0.962181,0.962315,0.970147,0.970697,0.961809,0.966739,0.961503,0.957079,0.949624,0.961679,0.969644,0.970879,0.969943,0.965566,0.959097,0.967069,0.957878,0.966527,0.963358,0.959469,0.960495,0.959563,0.967836,0.955697,0.956778,858.14629794826,798.014962593516,821.912894961571,905.420262664165,798.5425,803.827067669173,870.873303167421,1006.3765560166,1070.22822491731,826.296391752577,957.167326732673,906.223374175306,790.321222130471,803.404399323181,824.767581475129,944.151898734177,932.640730067243,938.957405614714,789.506132461161,822.553173241853,591.841493268054,552.409457900807,630.480756686236,587.413414634146,615.438742783836,571.383105294468,623.497725795971,629.282184655397,515.200539083558,587.701474201474,1121,1203,1171,1066,1200,1197,1105,964,907,1164,1010,1061,1211,1182,1166,1027,1041,1033,1223,1166,1634,1734,1533,1640,1559,1681,1539,1538,1855,1628
"6",0.901853,0.909439,0.907543,0.888395,0.898958,0.907094,0.902777,0.895857,0.892462,0.898198,0.904329,0.898173,0.897598,0.906342,0.89293,0.900342,0.899881,0.890916,0.896275,0.901617,0.895636,0.903537,0.902749,0.904112,0.906825,0.905742,0.916143,0.915281,0.908138,0.901432,363.064814814815,351.134749034749,411.397552130553,333.231432858215,355.600474683544,372.523203285421,356.687870406954,376.410504201681,339.081306990881,343.085561497326,353.391559202814,343.600994644223,374.936507936508,361.957667731629,350.031360250882,351.69609375,346.24124663332,348.695107632094,356.655391961799,352.745305164319,225.999495331819,231.379513444302,238.948914769719,259.50401836969,264.766423357664,245.591648590022,265.471747319618,255.095039018952,262.088888888889,253.140129177197,2484,2590,2206,2666,2528,2435,2531,2380,2632,2618,2559,2614,2394,2504,2551,2560,2599,2555,2513,2556,3963,3905,3778,3484,3425,3688,3451,3588,3465,3561
"7",0.803217,0.815598,0.793758,0.791949,0.802782,0.800036,0.802112,0.837207,0.81059,0.804889,0.786783,0.799417,0.816784,0.803812,0.801495,0.821551,0.799481,0.809501,0.801753,0.79606,0.786154,0.807153,0.795922,0.800869,0.784571,0.797166,0.806114,0.806975,0.798315,0.804525,191.881748686097,210.476903225806,193.646743108075,197.592065868263,202.569265707797,195.225963884822,196.25935894299,218.25,227.629879247402,196.458140102514,193.550553505535,200.505894156007,188.76450196441,202.165995975855,205.828197226502,210.007924335378,189.226272189349,206.137254901961,196.894155206287,193.453219927096,133.0885390215,132.3418593212,123.360508369498,132.550314465409,129.659725665179,131.719431592862,139.249265849024,133.318189327606,138.164589823468,133.354052710094,4186,3875,4099,4008,3963,4098,4087,3836,3561,4097,4065,3987,4327,3976,3894,3912,4225,3927,4072,4115,5907,6099,6452,6042,6051,6052,5789,6053,5778,6033
"8",0.650459,0.660681,0.668091,0.652495,0.64628,0.658055,0.641297,0.665828,0.69664,0.663404,0.650955,0.66234,0.668141,0.6483,0.6437,0.686621,0.678038,0.653933,0.683914,0.646553,0.661938,0.69073,0.669761,0.656039,0.689164,0.647959,0.670679,0.708343,0.638355,0.63444,125.960302091402,126.712888377445,126.221613451729,125.600577478345,123.171336001525,138.859464021946,120.794311546431,121.412837345004,128.626292466765,130.668505022651,121.560224089636,123.271915131212,134.597300564061,128.046612680229,127.314082278481,126.147528936248,126.712390207438,123.570105820106,137.608450704225,125.276690563844,84.9946070878274,84.710571498651,90.7412274759518,87.2856572645024,88.2525291330516,83.1356171413908,84.2667420530217,91.2930790050264,83.4887522887784,85.3430185633575,5164,5214,5293,5195,5247,4739,5309,5484,5416,5077,5355,5373,4964,5063,5056,5443,5351,5292,4970,5161,7788,8154,7381,7516,7809,7794,7959,7759,7646,7434
"9",0.500072,0.491859,0.468477,0.479495,0.474812,0.486949,0.503758,0.494375,0.510078,0.498196,0.461047,0.480319,0.511512,0.521775,0.503262,0.527792,0.462303,0.482362,0.49426,0.501556,0.481053,0.46216,0.457966,0.474971,0.509884,0.440251,0.489353,0.491567,0.47304,0.502794,96.9319635588292,87.8476513663154,91.0017482517483,93.1600932582087,87.5713758760605,92.0856656580938,86.4078902229846,92.1825470818572,96.3866213151927,88.7891641418642,88.9365354938272,90.9867399128623,97.1163850389216,94.3535262206148,92.392509638333,91.4717504332756,90.0473315153876,87.8459297031506,92.0238316886986,87.7613298337708,58.7079570417379,59.7491919844861,61.3895442359249,63.3717144763175,61.609956500725,58.3191151145847,62.497190293742,62.8040117541842,59.524348810872,64.9940537745605,5159,5599,5148,5147,5422,5288,5830,5363,5292,5611,5184,5279,5267,5530,5447,5770,5134,5491,5371,5715,8194,7735,7460,7495,8276,7549,7830,7827,7947,7736
"10",0.257283,0.29252,0.273682,0.252399,0.301525,0.234302,0.267382,0.259833,0.219565,0.264534,0.249951,0.278741,0.269618,0.259892,0.238442,0.300381,0.311044,0.278353,0.264583,0.317624,0.265552,0.271019,0.240461,0.274951,0.265194,0.275049,0.264486,0.272821,0.281466,0.328509,68.7371092706385,72.5136341100645,70.8286749482402,69.2262753702688,69.4598018889657,66.2806223479491,69.5221008840354,67.3142487046632,68.1032878411911,71.092179521634,76.6485740570377,70.211838790932,67.9823499747857,67.539501039501,65.867955801105,73.5506856023506,74.7342623738587,69.4493512974052,74.889046136428,70.6773475745438,47.5814370184555,46.5588386875107,43.4672812725958,47.0484257357974,48.4018981565979,46.453132916737,48.5028424720337,49.3258000361598,45.8339032730826,52.7132541720154,3743,4034,3864,3646,4341,3535,3846,3860,3224,3721,3261,3970,3966,3848,3620,4084,4162,4008,3533,4494,5581,5821,5532,5844,5479,5921,5453,5531,6141,6232
