"","sigma","mu1","mu2","delta","Delta_B1ELT","Delta_B1ERT","Delta_B1sym","rbar1_sharpELT","rbar1_sharpERT","rbar1_sharpsym","rbar1ELT","rbar1ERT","rbar1sym","rbar2_sharpELT","rbar2_sharpERT","rbar2_sharpsym","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"1",0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"2",0.4,0.1,0.1,0.1,0.00175506002338298,0.00177412771133941,0.00172251858630794,0.0148922300155729,0.0148899237187586,0.0149107158855145,0.00175598535419898,0.0017696794123053,0.00172843013792763,0.0148913046847569,0.0148943720177927,0.0149048043338948,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"3",0.4,0.1,0.1,0.2,0.00307682023247229,0.003084405158582,0.00308336178314024,0.0256094504339826,0.0256108984062129,0.0256860238389832,0.0030790886399023,0.00308911099881879,0.00308197507452636,0.0256071820265526,0.0256061925659761,0.0256874105475971,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"4",0.4,0.1,0.1,0.3,0.00404912164188653,0.00404662324330888,0.00397502188420491,0.0329602968274466,0.0329857079366753,0.0330588814518804,0.00403351463269357,0.0040342440328524,0.00399535493006274,0.0329759038366396,0.0329980871471318,0.0330385484060226,0.0009975,0.0009902,0.0009959,949.2,918.76,914.471428571429,1.1,1.4,1.6
"5",0.4,0.1,0.1,0.4,0.00460893837253875,0.00455418478222453,0.00447491046863003,0.0372228485696312,0.0371575330795436,0.0370250343873902,0.00459527897661668,0.00459847270078344,0.00449175229356203,0.0372365079655533,0.0371132451609846,0.0370081925624582,0.0010009,0.0009743,0.0009981,950.9,911.385714285714,920.34,1.1,1.6,1.4
"6",0.4,0.1,0.1,0.5,0.0047752168948064,0.00478982131206171,0.00478325256744551,0.0384320802503633,0.0385672637831601,0.0386059804022443,0.00476271947988645,0.00481930439159083,0.00474981745868324,0.0384445776652832,0.038537780703631,0.0386394155110065,0.000995,0.0009495,0.0009685,881.5,648.98,785.675,1.3,2.2,1.7
"7",0.4,0.1,0.1,0.6,0.00451991586111627,0.00461865766150891,0.0045258882344142,0.0370749300988295,0.037106886201261,0.0371523958398342,0.00452146481481484,0.00458354660605927,0.00453457682347659,0.037073381145131,0.0371419972567106,0.0371437072507718,0.0007818,0.0009385,0.0008977,487.885,687.98126984127,566.561666666667,4.7,2.9,3.6
"8",0.4,0.1,0.1,0.7,0.00401549500971731,0.0039975390139501,0.00420023859150492,0.0328346001382289,0.0329839155056633,0.0327402986855272,0.004059307606885,0.00397288425237726,0.00409764878864543,0.0327907875410612,0.0330085702672361,0.0328428884883866,0.0009222,0.0007181,0.0007586,624.715952380952,309.713333333333,251.751980086907,2.6,5.1,9.8
"9",0.4,0.1,0.1,0.8,0.00306575913591954,0.003064860013513,0.00298492786652272,0.0258418497771359,0.0256538852264917,0.0255358698704542,0.00313731579300478,0.00311981024750603,0.00302886780065855,0.0257702931200507,0.0255989349924987,0.0254919299363183,0.0006729,0.0006598,0.0007661,231.959479638009,208.055555555556,207.543383838384,6,5.8,8.9
"10",0.4,0.1,0.1,0.9,0.00177872288091358,0.00157647328208151,0.00165500187756695,0.0148118246117621,0.0149020753847799,0.0147355097055431,0.00171809676927581,0.00166036472135911,0.00168925863395275,0.0148724507233998,0.0148181839455023,0.0147012529491573,0.00068,0.0006264,0.0006317,128.183095238095,179.06183982684,190.743864963865,6.9,7.5,11
"11",0.4,0.1,0.1,1,0.00010318998574883,-9.54804392716207e-05,-9.00477963225941e-05,-7.46924720917214e-05,0.00015240327454467,-0.000236674564917593,1.01865000907168e-06,-7.20076215735747e-05,-6.92850586659032e-06,2.74788636480364e-05,0.000128930456846624,-0.000319793855373598,0.0004967,0.0005535,0.0004879,201.900952380952,66.1229004329004,43.2906383712905,4.7,10.2,13.4
"12",0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"13",0.4,0.1,0.2,0.1,0.00270865844862935,0.00273904720879909,0.00271598096969606,0.0042164988055246,0.00420347538663189,0.00423536695330584,-0.00795513077511485,-0.00794150866996544,-0.00794910779099668,0.0148802880292688,0.0148840312653964,0.0149004557139986,0.0003296,0.0003343,0.000343,257.383333333333,334.3,279.516666666667,1.5,1,1.5
"14",0.4,0.1,0.2,0.2,0.00433564850477165,0.004343720794098,0.00428550567330146,0.00502018169597872,0.00495727404619107,0.00495719137084193,-0.0163057540662085,-0.0162857813531279,-0.0163475367707477,0.0256615842669588,0.025586776193417,0.0255902338148911,0.0001587,0.000167,0.0001639,142.7,122.683333333333,137.1,1.2,1.6,1.3
"15",0.4,0.1,0.2,0.3,0.00509699517210022,0.00512842098668782,0.0051234141183271,0.00269192206933242,0.00267218692058022,0.0026884401470018,-0.0250916324327465,-0.0251208915476164,-0.025092821126411,0.0328805496741791,0.0329214994548844,0.0329046753917399,0.0001121,0.0001076,0.0001182,86.85,98.4,86.7833333333333,1.4,1.2,1.6
"16",0.4,0.1,0.2,0.4,0.00526069124617537,0.00523685653293063,0.00522794604833736,-0.00238988390503198,-0.00238984123427129,-0.00242387758592991,-0.0343064869212844,-0.0342962555021605,-0.0343354137078738,0.0371772942624278,0.0371432708008199,0.0371394821702812,8.28e-05,8.39e-05,9.42e-05,74.125,59.0916666666667,65.35,1.4,1.8,1.8
"17",0.4,0.1,0.2,0.5,0.00483752075295801,0.00481009170534375,0.00483979938863714,-0.0102028115756525,-0.0103036280487243,-0.0103198817331232,-0.0439816729744182,-0.0440037322918365,-0.0439864087626856,0.0386163821517238,0.038510195948456,0.0385063264181996,6.1e-05,6.49e-05,5.76e-05,57.6,55.1,50.4,1.1,1.5,1.2
"18",0.4,0.1,0.2,0.6,0.00398866399155742,0.00398978447833311,0.00402800987279037,-0.0210884050757962,-0.0210230637364569,-0.0210052803750176,-0.0541505150595885,-0.0541264093342997,-0.0541293286687757,0.0370507739753498,0.0370931300761759,0.0371520581665485,4.21e-05,5.97e-05,5.85e-05,40,44.575,49.25,1.1,1.6,1.3
"19",0.4,0.1,0.2,0.7,0.00299997451088067,0.00322066755584144,0.00294882818632712,-0.0348305400150809,-0.035197920297805,-0.0349094727869761,-0.0648047785846222,-0.0646230521627776,-0.0648319773196419,0.032974213080422,0.0326457994208141,0.0328713327189929,5.01e-05,4.56e-05,4.34e-05,32.675,36.7666666666667,34.0833333333333,1.7,1.4,1.5
"20",0.4,0.1,0.2,0.8,0.00183453969537097,0.00180362624849715,0.00182605104669325,-0.052248867918452,-0.0521217339831454,-0.051795520316834,-0.0759822962260343,-0.0759645485421381,-0.0759626248003314,0.0255679680029533,0.0256464408074899,0.0259931555301907,4.11e-05,3.91e-05,3.96e-05,28.12,32.25,30.15,1.9,1.3,1.5
"21",0.4,0.1,0.2,0.9,0.000797150786690294,0.000692211437284382,0.000644448475996193,-0.073337253431262,-0.0732567526411955,-0.073791245877202,-0.0875964991884858,-0.0877130158219259,-0.0877846609719746,0.0150563965439141,0.0151484746180148,0.0146378635707687,3.24e-05,4.34e-05,4.26e-05,27.1,33.5,28.875,1.3,1.6,1.8
"22",0.4,0.1,0.2,1,-0.000146085513099561,5.08993427931563e-05,-3.47568719029192e-05,-0.100098341997378,-0.0998624253603373,-0.100466771375548,-0.100103152083006,-0.100019525851783,-0.100082345921287,-0.000141275427471729,0.000207999834238556,-0.000419182326163431,3.42e-05,3.29e-05,3.61e-05,25.85,30.65,29.4,1.6,1.1,1.4
"23",0.4,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"24",0.4,0.1,0.3,0.1,0.00364991170757089,0.00364196341625945,0.00364291261628076,-0.00555457017729466,-0.00555451329532457,-0.00557842084178811,-0.0167946345772081,-0.0167968356961408,-0.0168130068634705,0.0148899761074843,0.0148842858170757,0.0148774986379632,0.0001643,0.0001644,0.0001631,164.3,155.7,163.1,1,1.1,1
